ds,y,vix
2019-01-11 23:00:00,3611.21,39.267
2019-01-12 00:00:00,3637.15,39.267
2019-01-12 01:00:00,3629.87,39.267
2019-01-12 02:00:00,3629.31,39.267
2019-01-12 03:00:00,3637.34,39.267
2019-01-12 04:00:00,3634.1,39.267
2019-01-12 05:00:00,3634.51,39.267
2019-01-12 06:00:00,3620.25,39.267
2019-01-12 07:00:00,3619.63,39.267
2019-01-12 08:00:00,3620.75,39.267
2019-01-12 09:00:00,3616.83,39.267
2019-01-12 10:00:00,3620.76,39.267
2019-01-12 11:00:00,3615.73,39.267
2019-01-12 12:00:00,3602.93,39.267
2019-01-12 13:00:00,3619.86,39.267
2019-01-12 14:00:00,3625.53,39.267
2019-01-12 15:00:00,3622.82,39.267
2019-01-12 16:00:00,3626.25,39.267
2019-01-12 17:00:00,3624.19,39.267
2019-01-12 18:00:00,3630.12,39.267
2019-01-12 19:00:00,3627.83,39.267
2019-01-12 20:00:00,3628.22,39.267
2019-01-12 21:00:00,3632.1,39.267
2019-01-12 22:00:00,3630,39.267
2019-01-12 23:00:00,3612.42,39.267
2019-01-13 00:00:00,3608.85,39.267
2019-01-13 01:00:00,3601.73,39.267
2019-01-13 02:00:00,3607.9,39.267
2019-01-13 03:00:00,3621.95,39.267
2019-01-13 04:00:00,3624.16,39.267
2019-01-13 05:00:00,3617.73,39.267
2019-01-13 06:00:00,3611.61,39.267
2019-01-13 07:00:00,3610.88,39.267
2019-01-13 08:00:00,3613.49,39.267
2019-01-13 09:00:00,3611.17,39.267
2019-01-13 10:00:00,3613.84,39.267
2019-01-13 11:00:00,3615.69,39.267
2019-01-13 12:00:00,3618.45,39.267
2019-01-13 13:00:00,3619.13,39.267
2019-01-13 14:00:00,3615.49,39.267
2019-01-13 15:00:00,3610.75,39.267
2019-01-13 16:00:00,3533.19,39.267
2019-01-13 17:00:00,3511.1,39.267
2019-01-13 18:00:00,3510.73,39.267
2019-01-13 19:00:00,3508.06,39.267
2019-01-13 20:00:00,3502.81,39.267
2019-01-13 21:00:00,3505.02,39.267
2019-01-13 22:00:00,3511.26,39.267
2019-01-13 23:00:00,3505.64,39.267
2019-01-14 00:00:00,3511.54,39.267
2019-01-14 01:00:00,3519.49,39.267
2019-01-14 02:00:00,3522.14,39.267
2019-01-14 03:00:00,3520.47,39.267
2019-01-14 04:00:00,3523.76,39.267
2019-01-14 05:00:00,3535.24,39.267
2019-01-14 06:00:00,3542.7,40.207
2019-01-14 07:00:00,3542.85,39.727
2019-01-14 08:00:00,3536.03,39.558
2019-01-14 09:00:00,3536.21,39.487
2019-01-14 10:00:00,3552.35,39.088
2019-01-14 11:00:00,3528.39,38.948
2019-01-14 12:00:00,3535.43,39.438
2019-01-14 13:00:00,3545.13,39.438
2019-01-14 14:00:00,3529.71,39.438
2019-01-14 15:00:00,3629.22,39.438
2019-01-14 16:00:00,3672.35,39.438
2019-01-14 17:00:00,3668.39,39.438
2019-01-14 18:00:00,3679.14,39.438
2019-01-14 19:00:00,3677.33,39.438
2019-01-14 20:00:00,3682.41,39.438
2019-01-14 21:00:00,3659.27,39.438
2019-01-14 22:00:00,3646.98,39.438
2019-01-14 23:00:00,3667.75,39.438
2019-01-15 00:00:00,3667.85,39.438
2019-01-15 01:00:00,3677.49,39.438
2019-01-15 02:00:00,3671.05,39.438
2019-01-15 03:00:00,3670.68,39.438
2019-01-15 04:00:00,3668.54,39.438
2019-01-15 05:00:00,3666.52,39.438
2019-01-15 06:00:00,3660.3,38.428
2019-01-15 07:00:00,3663.22,37.897
2019-01-15 08:00:00,3663.85,37.727
2019-01-15 09:00:00,3642.64,37.697
2019-01-15 10:00:00,3643.13,37.718
2019-01-15 11:00:00,3647.35,37.897
